k,x,f,relerror
0,0.85,3.07e-01,2.57e-01
1,1.025,1.25e-01,1.05e-01
2,1.1124999999999998,3.27e-02,2.82e-02
3,1.1562499999999998,-1.15e-02,1.01e-02
4,1.134375,1.04e-02,9.05e-03
5,1.1453125,-5.82e-04,5.09e-04
6,1.1398437499999998,4.90e-03,4.27e-03
7,1.1425781249999998,2.15e-03,1.88e-03
8,1.1439453125,7.85e-04,6.85e-04
9,1.14462890625,1.01e-04,8.82e-05
10,1.1449707031249998,-2.41e-04,2.10e-04
11,1.1447998046875,-6.99e-05,6.11e-05
12,1.14471435546875,1.55e-05,1.36e-05
13,1.144757080078125,-2.72e-05,2.38e-05
14,1.1447357177734374,-5.83e-06,5.09e-06
15,1.1447250366210937,4.85e-06,4.24e-06
16,1.1447303771972657,-4.91e-07,4.29e-07
17,1.1447277069091797,2.18e-06,1.90e-06
18,1.1447290420532226,8.44e-07,7.37e-07
19,1.144729709625244,1.76e-07,1.54e-07
20,1.1447300434112548,-1.58e-07,1.38e-07
21,1.1447298765182494,9.33e-09,8.15e-09
22,1.144729959964752,-7.41e-08,6.47e-08
23,1.1447299182415007,-3.24e-08,2.83e-08
24,1.1447298973798752,-1.15e-08,1.01e-08
25,1.1447298869490623,-1.10e-09,9.61e-10
26,1.1447298817336558,4.12e-09,3.60e-09
27,1.144729884341359,1.51e-09,1.32e-09
28,1.1447298856452106,2.04e-10,1.78e-10
29,1.1447298862971365,-4.48e-10,3.91e-10
30,1.1447298859711734,-1.22e-10,1.06e-10
31,1.144729885808192,4.12e-11,3.60e-11
32,1.1447298858896828,-4.03e-11,3.52e-11
33,1.1447298858489374,4.63e-13,4.04e-13
34,1.14472988586931,-1.99e-11,1.74e-11
35,1.1447298858591235,-9.72e-12,8.49e-12
36,1.144729885854031,-4.63e-12,4.05e-12
37,1.144729885851484,-2.08e-12,1.82e-12
38,1.1447298858502106,-8.11e-13,7.08e-13
39,1.144729885849574,-1.74e-13,1.52e-13
40,1.1447298858492558,1.44e-13,1.26e-13
41,1.144729885849415,-1.48e-14,1.30e-14
42,1.144729885849335,6.48e-14,5.68e-14
43,1.144729885849375,2.51e-14,2.19e-14
44,1.144729885849395,5.13e-15,4.46e-15
45,1.144729885849405,-4.91e-15,4.27e-15
46,1.1447298858494,1.80e-16,1.94e-16
